"","Cst_Cnt","Sta_ID","Depthm","T_degC","Salnty","O2ml_L","O2Sat","Oxy_µmol.Kg","ChlorA","Phaeop","PO4uM","SiO3uM","NO2uM","NO3uM","NH3uM","C14A1q","C14A2q"
"859729",34213,"083.3 090.0",0,16.503,33.1374,5.689,101.89,248.52,0.065,0.01,0.29,2.24,0.018,0.09,0.01,9,9
"859762",34214,"083.3 100.0",0,16.578,33.1173,5.713,102.46,249.56,0.08,0.018,0.29,3.07,0.01,0,0.21,9,9
"859793",34215,"083.3 110.0",0,16.847,33.2991,5.609,101.23,244.96,0.066,0.011,0.24,2.24,0.007,0.11,0.08,9,9
"859822",34216,"085.4 035.8",0,15.405,33.5405,6.398,112.39,279.34,1.139,0.411,0.38,1.34,0.026,0.01,0.23,9,9
"859829",34217,"086.7 033.0",0,15.855,33.5624,6.519,115.56,284.55,1.427,0.332,0.38,2.13,0.012,0,0,9,9
"859839",34218,"086.7 035.0",0,15.15,33.5687,6.335,110.73,276.53,0.677,0.272,0.49,4.37,0.058,0.47,0.35,9,9
"859869",34219,"086.7 040.0",0,15.969,33.5355,6.123,108.77,267.31,0.477,0.118,0.27,0.23,0.01,0,0.03,NA,NA
"859906",34220,"086.7 045.0",0,14.333,33.4501,7.844,134.76,341.8,3.083,1.147,0.3,0.33,0.042,0.07,0.16,9,9
"859936",34221,"086.7 050.0",0,14.565,33.401,7.071,122.02,308.74,2.216,0.847,0.28,0.46,0.041,0.12,0.05,9,9
"859948",34222,"086.7 055.0",0,15.836,33.2502,5.907,104.48,257.51,0.242,0.059,0.32,1.28,0.013,0,0,9,9
"859977",34223,"086.7 060.0",0,15.008,33.3087,6.066,105.56,264.93,0.452,0.107,0.35,1.79,0.026,0.1,0.13,9,9
"860007",34224,"086.7 070.0",0,15.776,33.1373,5.78,102.04,252.45,0.183,0.028,0.3,2.08,0.006,0,0.01,NA,NA
"860043",34225,"086.7 080.0",0,15.627,33.205,5.793,102.01,252.96,0.234,0.034,0.32,1.77,0.027,0,0.03,9,9
"860072",34226,"086.7 090.0",0,16.071,33.0944,5.692,101.05,248.61,0.091,0.016,0.29,1.93,0.007,0,0.01,9,9
"860103",34227,"086.7 100.0",0,16.421,33.0824,5.691,101.72,248.61,0.092,0.025,0.29,2.18,0.02,0.09,0.13,9,9
"860137",34228,"086.7 110.0",0,16.605,33.2738,5.627,101.06,245.81,0.07,0.012,0.28,1.93,0.006,0,0.02,NA,NA
"860173",34229,"086.8 032.5",0,15.339,33.5396,6.451,113.17,281.59,1.056,0.198,0.41,1.7,0.02,0.01,0.27,9,9
"860180",34230,"088.5 030.1",0,15.834,33.5266,6.403,113.43,279.45,1.305,0.374,0.32,3.73,0.025,0,0.04,9,9
"860185",34231,"090.0 027.7",0,16.457,33.5458,6.21,111.39,271.12,1.395,0.377,0.36,3.65,0.04,0.21,0,9,9
"860190",34232,"090.0 028.0",0,16.453,33.5423,6.263,112.33,273.45,0.923,0.208,0.31,3.13,0.056,0,0,NA,NA
"860217",34233,"090.0 030.0",0,16.544,33.5513,6.273,112.72,273.87,0.655,0.129,0.31,3.4,0.024,0,0.01,9,9
"860249",34234,"090.0 035.0",0,16.125,33.5312,5.898,105.1,257.48,0.338,0.12,0.33,1.97,0.014,0,0,9,9
"860273",34235,"090.0 037.0",0,16.451,33.5349,5.928,106.31,258.81,0.23,0.067,0.4,0.85,0.024,0.04,1.33,9,9
"860303",34236,"090.0 045.0",0,16.544,33.5331,5.831,104.76,254.58,0.348,0.066,0.36,1.97,0.018,0,0.02,9,9
"860335",34237,"090.0 053.0",0,15.868,33.4149,5.718,101.3,249.61,0.146,0.037,0.33,2.38,0.019,0,0.03,NA,NA
"860372",34238,"090.0 060.0",0,15.685,33.4257,5.774,101.92,251.67,0.257,0.075,0.32,2.46,0.018,0,0.03,9,9
"860403",34239,"090.0 070.0",0,15.744,33.3968,5.764,101.85,251.59,0.179,0.047,0.33,2.41,0.016,0,0.04,9,9
"860435",34240,"090.0 080.0",0,15.982,33.2916,5.742,101.88,250.66,0.112,0.028,0.31,2.09,0.014,0,0.09,9,9
"860467",34241,"090.0 090.0",0,15.64,33.2823,5.764,101.57,251.61,0.16,0.041,0.32,2.16,0.014,0,0.05,NA,NA
"860502",34242,"090.0 100.0",0,16.145,33.1722,5.72,101.74,249.93,0.076,0.014,0.27,1.93,0.017,0,0.08,9,9
"860532",34243,"090.0 110.0",0,16.859,33.2967,5.591,100.93,244.25,0.058,0.012,0.24,1.97,0.017,0,0,9,9
"860565",34244,"090.0 120.0",0,17.42,33.4651,5.585,102.03,243.86,0.056,0.015,0.25,1.95,0.019,0,0.15,9,9
"860600",34245,"091.7 026.4",0,16.053,33.5314,6.072,108.04,265.13,1.294,0.372,0.39,2.59,0.027,0,0.98,9,9
"860606",34246,"093.3 026.7",0,16.286,33.551,5.947,106.32,259.66,0.629,0.136,0.35,2.66,0.024,0,0.79,NA,NA
"860620",34247,"093.3 028.0",0,16.453,33.5286,6.06,108.68,264.57,0.486,0.122,0.29,2.13,0.025,0.02,0.09,9,9
"860648",34248,"093.3 030.0",0,16.314,33.5159,5.808,103.87,253.61,0.235,0.05,0.39,2.14,0.019,0.04,1.61,9,9
"860676",34249,"093.3 035.0",0,16.716,33.5177,5.67,102.21,247.58,0.145,0.035,0.3,2.29,0,0,0,9,9
"860704",34250,"093.3 040.0",0,16.856,33.524,5.614,101.48,245.16,0.155,0.034,0.29,1.86,0.009,0,0.02,9,9
"860736",34251,"093.3 045.0",0,16.298,33.5456,5.731,102.47,249.81,0.251,0.05,0.3,1.77,0.025,0,0,NA,NA
"860773",34252,"093.3 050.0",0,15.856,33.4821,5.812,102.98,253.58,0.415,0.073,0.33,1.44,0.02,0,0.03,9,9
"860802",34253,"093.3 055.0",0,15.814,33.5044,5.866,103.87,255.93,0.377,0.097,0.37,1.05,0.012,0,1.16,9,9
"860833",34254,"093.3 060.0",0,15.169,33.3511,5.851,102.18,255.36,0.335,0.132,0.34,2.16,0.015,0.02,0.02,9,9
"860864",34255,"093.3 070.0",0,15.816,33.3845,5.726,101.32,249.9,0.116,0.031,0.31,2.28,0.017,0,0.02,9,9
"860898",34256,"093.3 080.0",0,16.22,33.3342,5.66,100.92,247.07,0.078,0.017,0.29,2,0.025,0,0,NA,NA
"860933",34257,"093.3 090.0",0,16.273,33.2166,5.688,101.46,248.32,0.077,0.011,0.29,1.81,0.015,0,0.04,9,9
"860964",34258,"093.3 100.0",0,16.736,33.2705,5.605,100.92,244.76,0.051,0.013,0.26,2.65,0.016,0,0.01,9,9
"860996",34259,"093.3 110.0",0,16.636,33.2393,5.668,101.84,247.54,0.056,0.011,0.24,2.05,0.013,0,0,9,9
"861030",34260,"093.3 120.0",0,17.52,33.572,5.551,101.67,242.35,0.066,0.013,0.25,1.95,0.015,0,0,NA,NA
"861068",34261,"093.4 026.4",0,16.788,33.5489,6.012,108.55,262.5,0.617,0.138,0.35,2.51,0.031,0.06,2.1,9,9
"861075",34262,"076.7 080.0",0,16.781,32.903,5.695,102.41,248.71,0.142,0.018,0.24,0.94,0.011,0,0,9,9
"861107",34263,"076.7 090.0",0,16.443,33.0039,5.768,103.1,251.9,0.221,0.049,0.28,1.3,0.02,0.05,0.01,NA,NA
"861143",34264,"080.0 050.5",0,14.877,33.5511,5.5,95.6,240.09,1.12,0.371,0.64,5.95,0.192,4.8,0.11,9,9
"861150",34265,"080.0 051.0",0,13.932,33.5173,5.128,87.42,223.89,1.636,0.263,0.87,8.28,0.245,8.02,0.14,9,9
